Acelerador,Código de Falla,Corriente Instantanea,Corriente Motor,ID Celda Max Temp,ID Celda Max Volt,ID Celda Min Temp,ID Celda Min Volt,Max Temp Celda,Max Volt Celda,Min Temp Celda,Min Volt Celda,Nivel Vent. A/C,Odómetro,P. Cons. Ini Mov.,P. Gen. Freno Umbral 1,P. Gen. Freno Umbral 2,P. Gen. Freno Umbral 3,P. Gen. Freno Umbral 4,P. Gen. Freno Umbral 5,P. Gen. Freno Umbral 6,P. Gen. Retardador,P. Gen. TPS en uso,Pastilla Del Der,Pastilla Del Izq,Pastilla Tras Der,Pastilla Tras Izq,Pedal de Freno,Potencia Total Accesorios,Potencia Total Comp. A/C,Potencia Total Consumida,Potencia Total Generada,Potencia Total Motor,Presión Aire 1,Presión Aire 2,RPM,Set Temp. A/C,SOC,Temp Exterior,Temp Interior,Temperatura de Motor,Velocidad,Voltaje Instantaneo,latitud,longitud,hora
0.0,,0.0,0.0,27.0,201.0,41.0,252.0,33.0,3.416,22.0,3.354,0.0,89636.4,11799.6,-2773.7,-48943.7,-57809.6,-11165.7,-172.9,0.0,-4372.3,-944.5,9.6,13.2,30.8,26.4,0.0,26992.3,24.6,344274.5,-126394.2,317282.2,956.0,972.0,0.0,22.0,100.0,12.0,13.0,37.0,0.0,647.8,-33.633101,-70.610754,2020-08-01 00:32:48
0.0,,0.0,0.0,27.0,201.0,41.0,252.0,33.0,3.414,22.0,3.353,0.0,89636.4,11799.6,-2773.7,-48943.7,-57809.6,-11165.7,-172.9,0.0,-4372.3,-944.5,9.6,13.2,30.8,26.4,0.0,26992.3,24.6,344274.5,-126394.2,317282.2,948.0,972.0,0.0,22.0,100.0,12.0,13.0,37.0,0.0,647.5,-33.633101,-70.610754,2020-08-01 00:34:48
0.0,,0.0,0.0,27.0,201.0,41.0,148.0,33.0,3.41,22.0,3.351,0.0,89636.4,11799.6,-2773.7,-48943.7,-57809.6,-11165.7,-172.9,0.0,-4372.3,-944.5,9.6,13.2,30.8,26.4,0.0,26992.3,24.6,344274.5,-126394.2,317282.2,948.0,972.0,0.0,22.0,100.0,12.0,13.0,37.0,0.0,647.1,-33.633101,-70.610754,2020-08-01 00:37:48
0.0,,0.0,0.0,27.0,201.0,41.0,252.0,33.0,3.408,22.0,3.35,0.0,89636.4,11799.6,-2773.7,-48943.7,-57809.6,-11165.7,-172.9,0.0,-4372.3,-944.5,9.6,13.2,30.8,26.4,0.0,26992.3,24.6,344274.5,-126394.2,317282.2,948.0,972.0,0.0,22.0,100.0,12.0,13.0,37.0,0.0,646.8,-33.633101,-70.610754,2020-08-01 00:39:48
0.0,,0.0,0.0,27.0,201.0,41.0,252.0,33.0,3.405,22.0,3.35,0.0,89636.4,11799.6,-2773.7,-48943.7,-57809.6,-11165.7,-172.9,0.0,-4372.3,-944.5,9.6,13.2,30.8,26.4,0.0,26992.3,24.6,344274.5,-126394.2,317282.2,948.0,972.0,0.0,22.0,100.0,12.0,13.0,36.0,0.0,646.6,-33.633101,-70.610754,2020-08-01 00:41:48
0.0,,0.0,0.0,27.0,201.0,41.0,252.0,33.0,3.399,22.0,3.349,0.0,89636.4,11799.6,-2773.7,-48943.7,-57809.6,-11165.7,-172.9,0.0,-4372.3,-944.5,9.6,13.2,30.8,26.4,0.0,26992.3,24.6,344274.5,-126394.2,317282.2,932.0,948.0,0.0,22.0,100.0,12.0,13.0,36.0,0.0,646.0,-33.633101,-70.610754,2020-08-01 00:46:48
0.0,,0.0,0.0,27.0,201.0,41.0,252.0,33.0,3.396,22.0,3.348,0.0,89636.4,11799.6,-2773.7,-48943.7,-57809.6,-11165.7,-172.9,0.0,-4372.3,-944.5,9.6,13.2,30.8,26.4,0.0,26992.3,24.6,344274.5,-126394.2,317282.2,932.0,948.0,0.0,22.0,100.0,12.0,13.0,36.0,0.0,645.8,-33.633101,-70.610754,2020-08-01 00:48:48
0.0,,0.0,0.0,27.0,201.0,41.0,252.0,33.0,3.395,22.0,3.348,0.0,89636.4,11799.6,-2773.7,-48943.7,-57809.6,-11165.7,-172.9,0.0,-4372.3,-944.5,9.6,13.2,30.8,26.4,0.0,26992.3,24.6,344274.5,-126394.2,317282.2,904.0,920.0,0.0,22.0,100.0,12.0,13.0,36.0,0.0,645.7,-33.633101,-70.610754,2020-08-01 00:49:48
0.0,,0.0,0.0,12.0,201.0,41.0,252.0,24.0,3.351,16.0,3.33,0.0,89636.6,53.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,13.2,30.8,26.4,0.0,138.6,0.0,693.0,0.0,554.4,816.0,840.0,0.0,22.0,100.0,15.0,12.0,19.0,0.0,640.8,-33.633845,-70.609119,2020-08-01 10:52:42
0.0,,0.0,0.0,12.0,201.0,41.0,252.0,24.0,3.351,16.0,3.33,0.0,89636.6,53.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,13.2,30.8,26.4,0.0,138.6,0.0,693.0,0.0,554.4,816.0,840.0,0.0,22.0,100.0,15.0,12.0,18.0,0.0,640.8,-33.633845,-70.609119,2020-08-01 10:53:42
