Acelerador,Autonomía,Corriente Instantanea,Odómetro,P. Cons. Ini Mov.,P. Gen. Freno Umbral 1,P. Gen. Freno Umbral 2,P. Gen. Freno Umbral 3,P. Gen. Freno Umbral 4,P. Gen. Freno Umbral 5,P. Gen. Freno Umbral 6,P. Gen. Retardador,P. Gen. TPS en uso,Pedal de Freno,Potencia Total Consumida,Potencia Total Generada,Presión Aire 1,Presión Aire 2,SOC,Temperatura de Motor,Velocidad,Voltaje Instantaneo,latitud,longitud,hora
73.0,270.0,15.1,53014.6,6204.9,-780.1,-28602.5,-22597.4,-110.6,0.0,0.0,-1418.1,-426.6,0.0,164183.1,-53979.3,828.0,856.0,82.0,79.0,54.0,635.8,-33.617052,-70.599916,2020-02-03 12:47:43
73.0,270.0,15.1,53014.6,6204.9,-780.1,-28602.5,-22597.4,-110.6,0.0,0.0,-1418.1,-426.6,0.0,164183.1,-53979.3,828.0,856.0,82.0,79.0,54.0,635.8,-33.617052,-70.599916,2020-02-03 12:47:43
73.0,270.0,15.1,53014.6,6204.9,-780.1,-28602.5,-22597.4,-110.6,0.0,0.0,-1418.1,-426.6,0.0,164183.1,-53979.3,828.0,856.0,82.0,79.0,54.0,635.8,-33.617052,-70.599916,2020-02-03 12:47:43
73.0,270.0,15.1,53014.6,6204.9,-780.1,-28602.5,-22597.4,-110.6,0.0,0.0,-1418.1,-426.6,0.0,164183.1,-53979.3,828.0,856.0,82.0,79.0,54.0,635.8,-33.617052,-70.599916,2020-02-03 12:47:43
73.0,270.0,15.1,53014.6,6204.9,-780.1,-28602.5,-22597.4,-110.6,0.0,0.0,-1418.1,-426.6,0.0,164183.1,-53979.3,828.0,856.0,82.0,79.0,54.0,635.8,-33.617052,-70.599916,2020-02-03 12:47:43
73.0,270.0,15.1,53014.6,6204.9,-780.1,-28602.5,-22597.4,-110.6,0.0,0.0,-1418.1,-426.6,0.0,164183.1,-53979.3,828.0,856.0,82.0,79.0,54.0,635.8,-33.617052,-70.599916,2020-02-03 12:47:43
62.0,272.0,-23.8,53015.5,6204.9,-792.8,-28713.9,-22715.2,-110.6,0.0,0.0,-1485.6,-437.3,0.0,164522.1,-54299.5,792.0,820.0,82.0,78.0,27.0,640.2,-33.623891,-70.598551,2020-02-03 12:48:43
62.0,272.0,-23.8,53015.5,6204.9,-792.8,-28713.9,-22715.2,-110.6,0.0,0.0,-1485.6,-437.3,0.0,164522.1,-54299.5,792.0,820.0,82.0,78.0,27.0,640.2,-33.623891,-70.598551,2020-02-03 12:48:43
62.0,272.0,-23.8,53015.5,6204.9,-792.8,-28713.9,-22715.2,-110.6,0.0,0.0,-1485.6,-437.3,0.0,164522.1,-54299.5,792.0,820.0,82.0,78.0,27.0,640.2,-33.623891,-70.598551,2020-02-03 12:48:43
100.0,272.0,212.3,53016.3,6204.9,-806.4,-28769.9,-22747.4,-110.6,0.0,0.0,-1515.1,-453.7,0.0,165095.4,-54447.1,780.0,804.0,82.0,77.0,39.0,633.9,-33.629905,-70.601291,2020-02-03 12:49:43
0.0,328.0,-7.6,53017.1,6204.9,-806.4,-28769.9,-22747.4,-110.6,0.0,0.0,-1540.0,-454.1,0.0,165393.4,-54472.7,972.0,996.0,82.0,75.0,51.0,638.0,-33.632004,-70.609796,2020-02-03 12:50:43
0.0,328.0,-7.6,53017.1,6204.9,-806.4,-28769.9,-22747.4,-110.6,0.0,0.0,-1540.0,-454.1,0.0,165393.4,-54472.7,972.0,996.0,82.0,75.0,51.0,638.0,-33.632004,-70.609796,2020-02-03 12:50:43
85.0,328.0,177.7,53017.7,6223.9,-807.0,-28988.2,-22892.9,-110.6,0.0,0.0,-1551.6,-455.5,0.0,166415.0,-54850.1,932.0,948.0,82.0,77.0,45.0,632.1,-33.632438,-70.611678,2020-02-03 12:51:43
0.0,358.0,-20.8,53018.1,6225.1,-821.1,-29392.1,-22926.2,-110.6,0.0,0.0,-1561.9,-458.5,17.0,166747.0,-55314.8,856.0,880.0,82.0,78.0,8.0,638.4,-33.633432,-70.610664,2020-02-03 12:52:43
0.0,358.0,7.0,53018.2,6273.7,-821.1,-29395.7,-22926.2,-110.6,0.0,0.0,-1561.9,-458.5,9.0,166851.9,-55318.4,864.0,880.0,82.0,76.0,0.0,637.9,-33.633241,-70.610636,2020-02-03 12:53:43
0.0,358.0,7.0,53018.2,6273.7,-821.1,-29395.7,-22926.2,-110.6,0.0,0.0,-1561.9,-458.5,9.0,166851.9,-55318.4,864.0,880.0,82.0,76.0,0.0,637.9,-33.633241,-70.610636,2020-02-03 12:53:43
0.0,358.0,7.0,53018.2,6273.7,-821.1,-29395.7,-22926.2,-110.6,0.0,0.0,-1561.9,-458.5,9.0,166851.9,-55318.4,864.0,880.0,82.0,76.0,0.0,637.9,-33.633241,-70.610636,2020-02-03 12:53:43
0.0,358.0,7.0,53018.2,6273.7,-821.1,-29395.7,-22926.2,-110.6,0.0,0.0,-1561.9,-458.5,9.0,166851.9,-55318.4,864.0,880.0,82.0,76.0,0.0,637.9,-33.633241,-70.610636,2020-02-03 12:53:43
0.0,358.0,7.0,53018.2,6273.7,-821.1,-29395.7,-22926.2,-110.6,0.0,0.0,-1561.9,-458.5,9.0,166851.9,-55318.4,864.0,880.0,82.0,76.0,0.0,637.9,-33.633241,-70.610636,2020-02-03 12:53:43
0.0,358.0,7.0,53018.2,6273.7,-821.1,-29395.7,-22926.2,-110.6,0.0,0.0,-1561.9,-458.5,9.0,166851.9,-55318.4,864.0,880.0,82.0,76.0,0.0,637.9,-33.633241,-70.610636,2020-02-03 12:53:43
0.0,358.0,7.0,53018.2,6273.7,-821.1,-29395.7,-22926.2,-110.6,0.0,0.0,-1561.9,-458.5,9.0,166851.9,-55318.4,864.0,880.0,82.0,76.0,0.0,637.9,-33.633241,-70.610636,2020-02-03 12:53:43
0.0,358.0,7.0,53018.2,6273.7,-821.1,-29395.7,-22926.2,-110.6,0.0,0.0,-1561.9,-458.5,9.0,166857.9,-55318.4,868.0,896.0,82.0,75.0,0.0,637.9,-33.633248,-70.610599,2020-02-03 13:21:18
