,Acelerador,Autonomía,Corriente Instantanea,Odómetro,P. Cons. Ini Mov.,P. Gen. Freno Umbral 1,P. Gen. Freno Umbral 2,P. Gen. Freno Umbral 3,P. Gen. Freno Umbral 4,P. Gen. Freno Umbral 5,P. Gen. Freno Umbral 6,P. Gen. Retardador,P. Gen. TPS en uso,Pedal de Freno,Potencia Total Consumida,Potencia Total Generada,Presión Aire 1,Presión Aire 2,SOC,Temperatura de Motor,Velocidad,Voltaje Instantaneo,latitud,longitud,hora,deltaTime,travel
0,0.0,440.0,0.0,27078.3,11600.5,-1104.2,-60901.3,-26126.1,-52.7,0.0,0.0,-4472.4,-788.2,0.0,273903.6,-93555.3,960.0,948.0,72.0,62.0,0.0,636.6,-33.633475,-70.610406,2019-08-05 20:37:12,0.0,0
1,0.0,440.0,2.1,27078.3,11600.5,-1104.2,-60901.3,-26126.1,-52.7,0.0,0.0,-4472.4,-788.2,16.0,273935.9,-93555.3,908.0,908.0,72.0,57.0,0.0,637.4,-33.633491,-70.610639,2019-08-05 20:38:12,60.0,0
2,34.0,440.0,19.9,27078.4,11670.2,-1104.2,-60901.3,-26126.1,-52.7,0.0,0.0,-4472.4,-788.2,0.0,274096.1,-93555.3,900.0,896.0,72.0,56.0,5.0,636.3,-33.633892,-70.610836,2019-08-05 20:39:12,60.0,0
3,34.0,440.0,19.9,27078.4,11670.2,-1104.2,-60901.3,-26126.1,-52.7,0.0,0.0,-4472.4,-788.2,0.0,274096.1,-93555.3,900.0,896.0,72.0,56.0,5.0,636.3,-33.633892,-70.610836,2019-08-05 20:39:12,0.0,0
4,34.0,440.0,19.9,27078.4,11670.2,-1104.2,-60901.3,-26126.1,-52.7,0.0,0.0,-4472.4,-788.2,0.0,274096.1,-93555.3,900.0,896.0,72.0,56.0,5.0,636.3,-33.633892,-70.610836,2019-08-05 20:39:12,0.0,0
5,74.0,436.0,77.7,27078.8,11715.5,-1108.0,-61045.9,-26126.1,-52.7,0.0,0.0,-4473.5,-788.2,0.0,274980.4,-93704.9,880.0,868.0,71.0,60.0,52.0,631.7,-33.6325,-70.608725,2019-08-05 20:40:12,60.0,0
6,52.0,436.0,97.6,27079.7,11715.5,-1108.0,-61045.9,-26126.1,-52.7,0.0,0.0,-4475.8,-788.8,0.0,275754.0,-93707.8,880.0,872.0,71.0,61.0,52.0,630.7,-33.630149,-70.600444,2019-08-05 20:41:12,60.0,0
7,52.0,436.0,97.6,27079.7,11715.5,-1108.0,-61045.9,-26126.1,-52.7,0.0,0.0,-4475.8,-788.8,0.0,275754.0,-93707.8,880.0,872.0,71.0,61.0,52.0,630.7,-33.630149,-70.600444,2019-08-05 20:41:12,0.0,0
8,52.0,436.0,97.6,27079.7,11715.5,-1108.0,-61045.9,-26126.1,-52.7,0.0,0.0,-4475.8,-788.8,0.0,275754.0,-93707.8,880.0,872.0,71.0,61.0,52.0,630.7,-33.630149,-70.600444,2019-08-05 20:41:12,0.0,0
9,26.0,436.0,21.6,27081.6,11721.9,-1112.8,-61545.4,-26207.2,-52.7,0.0,0.0,-4505.2,-795.3,0.0,277682.0,-94329.3,828.0,824.0,71.0,65.0,5.0,633.4,-33.615555,-70.598477,2019-08-05 20:44:12,180.0,0
