,step,latitude,longitude,elevation,total_distance,roundTrip
0,0.0,-33.63359,-70.61097,654.308,0.0,0.0
1,0.00025006251562890725,-33.633469081944206,-70.61098511475697,654.1628983330534,13.518095812938226,0.0
2,0.0003308852614244232,-33.63343,-70.61099,654.116,17.887281729430835,0.0
3,0.0004149256609110706,-33.63339,-70.611,654.068,22.430410352930835,0.0
4,0.0005001250312578145,-33.633348663905565,-70.61100317969958,653.9107638561765,27.03619162587645,0.0
5,0.0007501875468867217,-33.63322734132163,-70.61101251220603,653.449271411898,40.554287438814676,0.0
6,0.0009508213857992609,-33.63313,-70.61102,653.079,51.40032508230621,0.0
7,0.001000250062515629,-33.63310619768347,-70.61102396705274,652.9746665125393,54.0723832517529,0.0
8,0.0012503125781445363,-33.63298578039648,-70.61104403660059,652.4468374045815,67.59047906469112,0.0
9,0.0015003750937734434,-33.632865363109495,-70.61106410614842,651.9190082966237,81.10857487762935,0.0
10,0.0017504376094023507,-33.63274494582251,-70.61108417569625,651.391179188666,94.62667069056758,0.0
11,0.001823007258711751,-33.63271,-70.61109,651.238,98.5497035769983,0.0
12,0.002000500125031258,-33.63269589716297,-70.61098775443152,651.2922959225738,108.1447665035058,0.0
13,0.0022505626406601653,-33.632676028246664,-70.61084370478831,651.3687912503507,121.66286231644403,0.0
14,0.0025006251562890726,-33.63265615933036,-70.61069965514508,651.4452865781276,135.18095812938225,0.0
15,0.00275068767191798,-33.63263629041405,-70.61055560550187,651.5217819059045,148.6990539423205,0.0
16,0.0028298563964565715,-33.63263,-70.61051,651.546,152.97882534671996,0.0
17,0.003000750187546887,-33.63262358144785,-70.6104105124417,651.8223186700011,162.21714975525867,0.0
18,0.003250812703175794,-33.6326141894197,-70.61026493600534,652.2266454819634,175.73524556819692,0.0
19,0.003362355898311452,-33.63261,-70.6102,652.407,181.76514411309816,0.0
20,0.0035008752188047014,-33.63261,-70.61011911784874,652.5917243970885,189.25334138113516,0.0
21,0.0037509377344336087,-33.63261,-70.60997310504601,652.9251987981285,202.77143719407337,0.0
22,0.003893263999542327,-33.63261,-70.60989,653.115,210.46543356773415,0.0
23,0.004001000250062516,-33.632604314902714,-70.60982746392988,653.183221167395,216.2895330070116,0.0
24,0.004251062765691423,-33.632591119439525,-70.60968231383477,653.3415667256963,229.80762881994983,0.0
25,0.004501125281320331,-33.632577923976335,-70.60953716373967,653.4999122839978,243.32572463288807,0.0
26,0.004751187796949238,-33.63256472851314,-70.60939201364457,653.6582578422992,256.8438204458263,0.0
27,0.005001250312578145,-33.63255153304995,-70.60924686354946,653.8166034006006,270.3619162587645,0.0
28,0.005219809027906528,-33.63254,-70.60912,653.955,282.17695237935703,0.0
29,0.005251312828207053,-33.632537402457025,-70.60910187131465,653.9770845268469,283.8800120717027,0.0
30,0.00550137534383596,-33.63251678436889,-70.60895797424122,654.1523812303275,297.398107884641,0.0
31,0.005751437859464867,-33.63249616628076,-70.60881407716779,654.3276779338082,310.9162036975792,0.0
32,0.006001500375093774,-33.63247554819262,-70.60867018009436,654.5029746372888,324.43429951051735,0.0
33,0.006251562890722681,-33.632454930104494,-70.60852628302094,654.6782713407695,337.9523953234556,0.0
34,0.006501625406351588,-33.63243431201636,-70.60838238594751,654.8535680442501,351.47049113639383,0.0
35,0.0067516879219804956,-33.63241369392823,-70.60823848887408,655.0288647477307,364.9885869493321,0.0
36,0.007001750437609403,-33.63239307584009,-70.60809459180065,655.2041614512113,378.5066827622703,0.0
37,0.00725181295323831,-33.63237245775196,-70.60795069472722,655.379458154692,392.02477857520853,0.0
38,0.0075018754688672175,-33.632351839663826,-70.6078067976538,655.5547548581727,405.54287438814674,0.0
39,0.007751937984496125,-33.6323312215757,-70.60766290058037,655.7300515616533,419.06097020108496,0.0
40,0.008002000500125032,-33.63231060348756,-70.60751900350694,655.905348265134,432.5790660140232,0.0
41,0.008252063015753939,-33.63228998539943,-70.60737510643351,656.0806449686146,446.0971618269614,0.0
42,0.008502125531382847,-33.632269367311295,-70.60723120936008,656.2559416720952,459.6152576398997,0.0
43,0.008752188047011753,-33.632248749223166,-70.60708731228665,656.4312383755758,473.13335345283787,0.0
44,0.009002250562640661,-33.63222813113503,-70.60694341521322,656.6065350790566,486.65144926577614,0.0
45,0.009252313078269568,-33.6322075130469,-70.6067995181398,656.7818317825372,500.16954507871435,0.0
46,0.009502375593898476,-33.632186894958764,-70.60665562106637,656.9571284860178,513.6876408916526,0.0
47,0.009752438109527382,-33.632166276870635,-70.60651172399294,657.1324251894985,527.2057367045908,0.0
48,0.01000250062515629,-33.6321456587825,-70.60636782691951,657.3077218929791,540.723832517529,0.0
49,0.010252563140785197,-33.63212504069437,-70.6062239298461,657.4830185964597,554.2419283304673,0.0
50,0.010502625656414105,-33.63210442260623,-70.60608003277267,657.6583152999403,567.7600241434055,0.0
51,0.010752688172043012,-33.6320838045181,-70.60593613569924,657.8336120034211,581.2781199563437,0.0
52,0.01100275068767192,-33.63206318642997,-70.60579223862581,658.0089087069017,594.796215769282,0.0
53,0.01104139669053039,-33.63206,-70.60577,658.036,596.8853748266241,0.0
54,0.011252813203300826,-33.63203836093037,-70.60564932057324,658.0925112626052,608.3143115822202,0.0
55,0.011502875718929734,-33.63201276633459,-70.60550658148135,658.15935253391,621.8324073951585,0.0
56,0.01175293823455864,-33.6319871717388,-70.60536384238945,658.2261938052148,635.3505032080966,0.0
57,0.012003000750187547,-33.63196157714301,-70.60522110329757,658.2930350765197,648.8685990210348,0.0
