,Acelerador,Autonomía,Corriente Instantanea,Odómetro,P. Cons. Ini Mov.,P. Gen. Freno Umbral 1,P. Gen. Freno Umbral 2,P. Gen. Freno Umbral 3,P. Gen. Freno Umbral 4,P. Gen. Freno Umbral 5,P. Gen. Freno Umbral 6,P. Gen. Retardador,P. Gen. TPS en uso,Pedal de Freno,Potencia Total Consumida,Potencia Total Generada,Presión Aire 1,Presión Aire 2,SOC,Temperatura de Motor,Velocidad,Voltaje Instantaneo,latitud,longitud,hora,deltaTime,travel
0,0.0,400.0,0.0,65157.2,5321.4,-702.2,-25958.7,-26688.8,0.0,0.0,0.0,-1081.2,-588.6,0.0,148198.1,-55064.9,828.0,828.0,87.0,55.0,0.0,639.6,-33.633095,-70.610646,2020-04-08 13:46:15,0.0,0
1,0.0,400.0,0.0,65157.2,5321.4,-702.2,-25958.7,-26688.8,0.0,0.0,0.0,-1081.2,-588.6,0.0,148198.1,-55064.9,796.0,796.0,87.0,52.0,0.0,639.9,-33.633067,-70.61047,2020-04-08 13:48:15,120.0,0
2,0.0,400.0,0.0,65157.2,5321.4,-702.2,-25958.7,-26688.8,0.0,0.0,0.0,-1081.2,-588.6,0.0,148198.1,-55064.9,804.0,792.0,87.0,51.0,0.0,639.9,-33.633067,-70.61047,2020-04-08 13:50:15,120.0,0
3,0.0,400.0,0.0,65157.2,5321.4,-702.2,-25958.7,-26688.8,0.0,0.0,0.0,-1081.2,-588.6,0.0,148198.1,-55064.9,804.0,796.0,87.0,50.0,0.0,639.9,-33.633067,-70.61047,2020-04-08 13:52:15,120.0,0
4,0.0,400.0,0.0,65157.2,5321.4,-702.2,-25958.7,-26688.8,0.0,0.0,0.0,-1081.2,-588.6,0.0,148198.1,-55064.9,788.0,788.0,87.0,50.0,0.0,639.9,-33.633067,-70.61047,2020-04-08 13:53:15,60.0,0
5,0.0,400.0,0.0,65157.2,5321.4,-702.2,-25958.7,-26688.8,0.0,0.0,0.0,-1081.2,-588.6,0.0,148198.1,-55064.9,788.0,788.0,87.0,50.0,0.0,639.9,-33.633067,-70.61047,2020-04-08 13:55:15,120.0,0
6,0.0,400.0,7.5,65157.2,5321.4,-702.2,-25958.7,-26688.8,0.0,0.0,0.0,-1081.2,-588.6,19.0,148251.7,-55064.9,1000.0,1000.0,87.0,50.0,0.0,639.6,-33.633067,-70.61047,2020-04-08 13:57:15,120.0,0
7,0.0,400.0,0.0,65157.2,5321.4,-702.2,-25958.7,-26688.8,0.0,0.0,0.0,-1081.2,-588.6,18.0,148259.5,-55064.9,988.0,980.0,87.0,49.0,0.0,639.7,-33.633067,-70.61047,2020-04-08 13:58:15,60.0,0
8,0.0,400.0,0.0,65157.2,5321.4,-702.2,-25958.7,-26688.8,0.0,0.0,0.0,-1081.2,-588.6,20.0,148259.6,-55064.9,952.0,948.0,87.0,49.0,0.0,639.8,-33.633067,-70.61047,2020-04-08 14:00:15,120.0,0
9,35.0,400.0,62.6,65157.4,5411.4,-705.0,-25983.0,-26720.9,0.0,0.0,0.0,-1082.7,-588.6,0.0,148587.8,-55125.7,864.0,856.0,87.0,52.0,9.0,638.0,-33.633492,-70.610376,2020-04-08 14:02:15,120.0,0
10,64.0,400.0,129.8,65157.6,5525.7,-705.7,-26057.7,-26794.1,0.0,0.0,0.0,-1083.6,-589.2,0.0,149107.1,-55275.8,1000.0,1000.0,87.0,55.0,29.0,635.3,-33.6327,-70.610916,2020-04-08 14:03:15,60.0,0
11,56.0,396.0,114.4,65159.3,5525.7,-705.7,-26057.7,-26794.1,0.0,0.0,0.0,-1083.6,-589.2,0.0,150830.8,-55275.8,992.0,988.0,86.0,57.0,49.0,633.6,-33.625936,-70.597755,2020-04-08 14:05:15,120.0,0
12,0.0,392.0,4.0,65160.6,5525.7,-710.8,-26299.7,-27123.5,0.0,0.0,0.0,-1116.7,-595.5,0.0,152249.6,-55892.0,956.0,948.0,86.0,62.0,27.0,637.0,-33.615712,-70.598676,2020-04-08 14:07:15,120.0,0
13,26.0,392.0,92.0,65160.8,5566.9,-710.8,-26324.6,-27186.0,0.0,0.0,0.0,-1116.7,-595.5,0.0,152606.2,-55979.4,920.0,920.0,86.0,64.0,29.0,634.8,-33.614895,-70.596853,2020-04-08 14:08:15,60.0,0
14,52.0,390.0,127.8,65161.6,5589.1,-715.9,-26501.3,-27414.5,0.0,0.0,0.0,-1138.6,-596.8,0.0,153993.5,-56412.8,844.0,840.0,86.0,68.0,40.0,633.5,-33.616232,-70.589709,2020-04-08 14:10:15,120.0,0
15,0.0,390.0,2.0,65162.7,5590.9,-716.2,-26750.4,-27775.4,0.0,0.0,0.0,-1150.6,-596.8,16.0,155567.6,-57035.4,816.0,804.0,85.0,70.0,3.0,636.9,-33.614236,-70.578711,2020-04-08 14:12:15,120.0,0
16,0.0,240.0,1.6,65163.0,5612.3,-716.3,-26831.0,-27923.8,0.0,0.0,0.0,-1159.5,-596.8,19.0,156227.7,-57273.2,804.0,788.0,85.0,70.0,0.0,637.6,-33.613856,-70.575368,2020-04-08 14:14:15,120.0,0
17,62.0,260.0,78.8,65163.1,5653.8,-716.4,-26863.5,-27923.8,0.0,0.0,0.0,-1159.7,-596.8,0.0,156418.2,-57306.0,828.0,824.0,85.0,68.0,6.0,636.3,-33.613739,-70.574534,2020-04-08 14:15:15,60.0,0
18,45.0,228.0,130.7,65163.5,5708.6,-717.1,-26895.6,-28118.2,0.0,0.0,0.0,-1163.1,-596.8,0.0,157109.2,-57536.7,904.0,900.0,85.0,69.0,21.0,635.2,-33.611026,-70.574703,2020-04-08 14:17:15,120.0,0
19,26.0,216.0,58.9,65164.1,5769.7,-717.3,-27181.9,-28258.1,0.0,0.0,0.0,-1171.3,-601.1,0.0,157935.6,-57978.9,832.0,828.0,85.0,70.0,19.0,636.6,-33.605889,-70.575786,2020-04-08 14:19:15,120.0,0
20,52.0,216.0,129.0,65164.5,5788.6,-717.4,-27243.4,-28452.4,0.0,0.0,0.0,-1176.7,-601.1,0.0,158620.7,-58240.3,820.0,816.0,85.0,72.0,38.0,634.3,-33.602885,-70.577089,2020-04-08 14:20:15,60.0,0
21,45.0,226.0,116.6,65165.1,5860.1,-717.6,-27506.8,-28713.7,0.0,0.0,0.0,-1176.9,-601.1,0.0,159489.7,-58765.4,996.0,988.0,85.0,74.0,30.0,634.8,-33.598193,-70.578027,2020-04-08 14:22:15,120.0,0
22,46.0,252.0,65.8,65166.5,5877.5,-722.9,-27583.0,-28986.6,0.0,0.0,0.0,-1192.2,-608.8,0.0,160596.7,-59143.1,948.0,948.0,84.0,74.0,52.0,635.2,-33.586112,-70.580377,2020-04-08 14:24:15,120.0,0
23,40.0,372.0,10.8,65167.4,5877.5,-722.9,-27583.0,-28986.6,0.0,0.0,0.0,-1192.2,-608.8,0.0,160707.2,-59143.1,948.0,940.0,84.0,72.0,54.0,637.4,-33.578492,-70.581922,2020-04-08 14:25:15,60.0,0
24,45.0,498.0,5.6,65168.4,5897.7,-722.9,-27659.5,-29205.7,0.0,0.0,0.0,-1192.7,-608.8,0.0,161260.9,-59439.0,868.0,868.0,84.0,72.0,54.0,637.5,-33.570489,-70.583467,2020-04-08 14:27:15,120.0,0
25,52.0,500.0,142.3,65168.7,5958.2,-722.9,-27716.2,-29541.0,0.0,0.0,0.0,-1192.7,-608.8,0.0,161692.8,-59831.2,776.0,776.0,84.0,73.0,26.0,634.9,-33.567842,-70.5839,2020-04-08 14:29:15,120.0,0
26,0.0,500.0,1.5,65169.2,5958.2,-723.0,-27769.5,-29706.4,0.0,0.0,0.0,-1193.2,-608.8,20.0,162095.4,-60050.5,1000.0,996.0,84.0,74.0,0.0,638.3,-33.56409,-70.584628,2020-04-08 14:30:15,60.0,0
27,0.0,500.0,-173.4,65170.3,5997.4,-723.4,-27866.4,-29903.7,0.0,0.0,0.0,-1197.8,-608.8,20.0,163036.7,-60349.6,908.0,896.0,84.0,74.0,52.0,640.5,-33.554573,-70.586324,2020-04-08 14:32:15,120.0,0
28,49.0,500.0,3.0,65170.9,6044.3,-723.4,-27917.4,-30117.0,0.0,0.0,0.0,-1197.8,-608.8,0.0,163597.8,-60613.9,840.0,832.0,84.0,72.0,55.0,637.2,-33.549655,-70.587174,2020-04-08 14:34:15,120.0,0
29,49.0,500.0,133.5,65171.2,6080.3,-724.0,-27952.1,-30357.4,0.0,0.0,0.0,-1197.9,-608.8,0.0,163799.1,-60889.7,788.0,800.0,84.0,73.0,30.0,635.0,-33.547206,-70.587574,2020-04-08 14:35:15,60.0,0
30,52.0,500.0,4.7,65172.4,6105.9,-724.2,-28015.3,-30938.1,0.0,0.0,0.0,-1200.2,-608.8,0.0,165146.2,-61537.0,1000.0,1000.0,84.0,77.0,55.0,636.9,-33.537451,-70.59197,2020-04-08 14:37:15,120.0,0
31,0.0,436.0,-144.2,65173.4,6144.1,-725.3,-28167.0,-31494.1,0.0,0.0,0.0,-1202.0,-608.8,17.0,166148.9,-62247.5,896.0,896.0,84.0,78.0,39.0,639.9,-33.529651,-70.59537,2020-04-08 14:39:15,120.0,0
32,53.0,436.0,111.5,65173.8,6163.8,-726.7,-28336.3,-31616.2,0.0,0.0,0.0,-1205.7,-610.0,0.0,166698.8,-62545.3,840.0,840.0,84.0,78.0,47.0,634.5,-33.526458,-70.596718,2020-04-08 14:40:15,60.0,0
33,0.0,500.0,7.8,65174.7,6205.8,-727.0,-28449.3,-32018.9,0.0,0.0,0.0,-1215.8,-615.7,22.0,167491.1,-63077.2,896.0,892.0,84.0,76.0,0.0,637.8,-33.519412,-70.600255,2020-04-08 14:42:15,120.0,0
34,64.0,500.0,10.4,65175.2,6250.0,-727.0,-28462.2,-32181.2,0.0,0.0,0.0,-1215.8,-615.7,0.0,168328.7,-63252.4,908.0,908.0,84.0,73.0,55.0,636.4,-33.515757,-70.603106,2020-04-08 14:44:15,120.0,0
35,0.0,438.0,1.5,65175.7,6250.0,-727.1,-28629.7,-32330.9,0.0,0.0,0.0,-1215.9,-615.7,0.0,168357.3,-63569.9,888.0,880.0,84.0,72.0,0.0,638.6,-33.513156,-70.606271,2020-04-08 14:45:15,60.0,0
36,0.0,488.0,7.3,65176.3,6308.1,-727.5,-28701.6,-32694.4,0.0,0.0,0.0,-1216.2,-615.7,16.0,169120.2,-64006.1,788.0,776.0,84.0,73.0,0.0,638.2,-33.509145,-70.611171,2020-04-08 14:47:15,120.0,0
37,0.0,500.0,1.6,65176.7,6330.8,-727.5,-28726.6,-32918.4,0.0,0.0,0.0,-1216.2,-615.7,15.0,169646.6,-64255.1,988.0,972.0,83.0,71.0,0.0,638.4,-33.507188,-70.613736,2020-04-08 14:49:15,120.0,0
38,45.0,500.0,6.2,65177.2,6349.5,-727.5,-28726.6,-32918.4,0.0,0.0,0.0,-1216.2,-615.7,0.0,170141.0,-64255.1,972.0,972.0,83.0,70.0,55.0,637.2,-33.502865,-70.615103,2020-04-08 14:50:15,60.0,0
39,0.0,500.0,1.5,65178.0,6369.0,-727.6,-28879.3,-33386.8,0.0,0.0,0.0,-1216.2,-615.7,17.0,170638.2,-64876.3,936.0,932.0,83.0,72.0,0.0,638.6,-33.496416,-70.616374,2020-04-08 14:52:15,120.0,0
40,0.0,500.0,1.5,65178.5,6407.1,-727.6,-28951.4,-33616.8,0.0,0.0,0.0,-1216.2,-615.7,17.0,171187.1,-65178.3,868.0,864.0,83.0,72.0,0.0,638.5,-33.491809,-70.617381,2020-04-08 14:54:15,120.0,0
41,45.0,500.0,35.0,65178.8,6426.2,-727.6,-28951.4,-33616.8,0.0,0.0,0.0,-1216.2,-615.7,0.0,171664.3,-65178.3,868.0,868.0,83.0,71.0,54.0,635.9,-33.489824,-70.617863,2020-04-08 14:55:15,60.0,0
42,0.0,500.0,1.6,65179.2,6469.2,-727.8,-29049.6,-33940.7,0.0,0.0,0.0,-1216.4,-615.7,17.0,172086.0,-65600.8,824.0,816.0,83.0,74.0,0.0,638.3,-33.485871,-70.619114,2020-04-08 14:57:15,120.0,0
43,0.0,500.0,2.3,65180.1,6508.4,-728.0,-29073.0,-34216.1,0.0,0.0,0.0,-1216.5,-615.7,0.0,172853.7,-65899.7,816.0,824.0,83.0,72.0,28.0,636.9,-33.478983,-70.621864,2020-04-08 14:59:15,120.0,0
44,45.0,500.0,33.9,65180.7,6529.8,-728.0,-29088.0,-34264.7,0.0,0.0,0.0,-1216.5,-615.7,0.0,173553.0,-65963.4,1000.0,1000.0,83.0,74.0,54.0,635.7,-33.474539,-70.622953,2020-04-08 15:00:15,60.0,0
45,56.0,440.0,66.1,65182.1,6551.3,-728.0,-29117.5,-34464.8,0.0,0.0,0.0,-1216.6,-615.7,0.0,174654.4,-66193.1,944.0,936.0,82.0,74.0,53.0,634.6,-33.463443,-70.627485,2020-04-08 15:02:15,120.0,0
46,45.0,332.0,81.1,65183.2,6595.6,-728.1,-29212.4,-34790.9,0.0,0.0,0.0,-1218.9,-615.7,0.0,176125.3,-66616.4,880.0,880.0,82.0,77.0,48.0,633.8,-33.454,-70.630266,2020-04-08 15:04:15,120.0,0
47,48.0,322.0,128.1,65183.5,6619.0,-728.2,-29229.4,-34982.7,0.0,0.0,0.0,-1220.0,-615.7,0.0,176363.6,-66826.7,868.0,860.0,82.0,77.0,25.0,634.1,-33.452131,-70.630801,2020-04-08 15:05:15,60.0,0
