,Acelerador,Autonomía,Corriente Instantanea,Odómetro,P. Cons. Ini Mov.,P. Gen. Freno Umbral 1,P. Gen. Freno Umbral 2,P. Gen. Freno Umbral 3,P. Gen. Freno Umbral 4,P. Gen. Freno Umbral 5,P. Gen. Freno Umbral 6,P. Gen. Retardador,P. Gen. TPS en uso,Pedal de Freno,Potencia Total Consumida,Potencia Total Generada,Presión Aire 1,Presión Aire 2,SOC,Temperatura de Motor,Velocidad,Voltaje Instantaneo,latitud,longitud,hora,deltaTime,travel
0,0.0,310.0,0.0,65337.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,788.0,800.0,72.0,50.0,0.0,636.4,-33.633408,-70.61069,2020-04-08 17:45:55,0.0,0
1,0.0,310.0,0.0,65337.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,788.0,792.0,72.0,49.0,0.0,636.4,-33.633408,-70.61069,2020-04-08 17:47:55,120.0,0
2,0.0,310.0,0.0,65337.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,788.0,788.0,72.0,48.0,0.0,636.4,-33.633408,-70.61069,2020-04-08 17:48:55,60.0,0
3,0.0,310.0,0.0,65337.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,788.0,788.0,72.0,47.0,0.0,636.4,-33.633408,-70.61069,2020-04-08 17:50:55,120.0,0
4,0.0,310.0,0.0,65337.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,788.0,788.0,72.0,47.0,0.0,636.4,-33.633408,-70.61069,2020-04-08 17:52:55,120.0,0
5,0.0,310.0,0.0,65337.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,788.0,788.0,72.0,47.0,0.0,636.4,-33.633408,-70.61069,2020-04-08 17:53:55,60.0,0
6,0.0,308.0,1.8,65337.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,89.3,0.0,1000.0,992.0,72.0,46.0,0.0,636.2,-33.633408,-70.61069,2020-04-08 17:55:55,120.0,0
7,83.0,308.0,75.2,65338.1,133.4,-1.3,-124.5,-95.0,0.0,0.0,0.0,-2.5,-2.7,0.0,1254.9,-226.1,936.0,940.0,72.0,53.0,52.0,630.9,-33.632486,-70.608694,2020-04-08 17:57:55,120.0,0
8,100.0,308.0,62.5,65338.9,133.4,-1.3,-124.5,-95.0,0.0,0.0,0.0,-2.5,-2.7,0.0,2011.1,-226.1,936.0,944.0,72.0,54.0,53.0,630.5,-33.630153,-70.600381,2020-04-08 17:58:55,60.0,0
9,10.0,306.0,12.0,65340.1,179.8,-4.9,-389.8,-208.8,-12.8,0.0,0.0,-18.4,-8.0,0.0,3259.3,-642.8,880.0,880.0,71.0,57.0,16.0,632.1,-33.62076,-70.598459,2020-04-08 18:00:55,120.0,0
10,0.0,306.0,2.5,65341.0,189.1,-16.4,-552.6,-499.2,-12.8,0.0,0.0,-35.5,-14.5,0.0,4582.7,-1131.2,816.0,816.0,71.0,62.0,0.0,632.5,-33.614964,-70.597157,2020-04-08 18:02:55,120.0,0
11,100.0,306.0,230.4,65341.2,227.8,-16.4,-589.5,-613.0,-12.8,0.0,0.0,-38.3,-16.6,0.0,5184.2,-1286.8,776.0,788.0,71.0,63.0,30.0,626.7,-33.615221,-70.595307,2020-04-08 18:03:55,60.0,0
12,100.0,300.0,78.9,65342.2,263.7,-17.3,-786.1,-1070.5,-12.8,0.0,0.0,-53.0,-28.2,0.0,7448.0,-1968.5,960.0,960.0,70.0,71.0,52.0,627.8,-33.615496,-70.586312,2020-04-08 18:05:55,120.0,0
13,0.0,298.0,2.9,65343.3,292.4,-19.1,-1177.3,-1574.9,-12.8,0.0,0.0,-70.5,-52.5,15.0,9473.3,-2908.1,868.0,876.0,70.0,76.0,1.0,631.0,-33.613884,-70.575386,2020-04-08 18:07:55,120.0,0
14,100.0,172.0,211.5,65343.4,313.2,-26.2,-1193.9,-1574.9,-12.8,0.0,0.0,-71.3,-52.9,0.0,9779.6,-2933.0,868.0,868.0,70.0,74.0,27.0,626.8,-33.613711,-70.574349,2020-04-08 18:08:55,60.0,0
15,0.0,150.0,-49.7,65343.8,346.8,-26.5,-1319.7,-1756.4,-55.5,0.0,0.0,-79.1,-55.7,15.0,10641.4,-3295.9,796.0,804.0,70.0,73.0,22.0,632.6,-33.610062,-70.574948,2020-04-08 18:10:55,120.0,0
16,100.0,142.0,32.4,65344.8,380.6,-28.5,-1431.4,-1980.0,-55.5,0.0,0.0,-84.6,-66.3,0.0,12036.2,-3649.3,1000.0,1000.0,70.0,74.0,54.0,629.8,-33.602463,-70.577216,2020-04-08 18:12:55,120.0,0
17,0.0,142.0,2.4,65345.0,389.6,-28.5,-1491.7,-2166.9,-55.5,0.0,0.0,-84.6,-66.3,23.0,12096.4,-3896.5,920.0,920.0,70.0,72.0,0.0,632.1,-33.600791,-70.577554,2020-04-08 18:13:55,60.0,0
18,100.0,168.0,148.5,65345.8,420.6,-28.6,-1530.8,-2397.5,-55.5,0.0,0.0,-86.6,-69.3,0.0,12736.1,-4171.3,892.0,896.0,70.0,70.0,9.0,629.7,-33.594489,-70.578852,2020-04-08 18:15:55,120.0,0
19,100.0,182.0,3.6,65347.0,443.0,-28.8,-1631.3,-2634.3,-55.5,0.0,0.0,-89.3,-71.4,0.0,13983.9,-4513.6,840.0,840.0,69.0,72.0,55.0,630.9,-33.584261,-70.580793,2020-04-08 18:17:55,120.0,0
20,100.0,256.0,7.4,65348.2,475.4,-28.9,-1639.4,-2885.9,-55.5,0.0,0.0,-89.3,-71.4,0.0,14591.3,-4773.3,804.0,812.0,69.0,72.0,55.0,630.7,-33.574078,-70.582766,2020-04-08 18:19:55,120.0,0
21,100.0,282.0,239.0,65348.9,494.1,-29.4,-1650.3,-3106.9,-55.5,0.0,0.0,-89.3,-71.4,0.0,14735.8,-5005.7,776.0,776.0,69.0,71.0,21.0,627.8,-33.568346,-70.583887,2020-04-08 18:20:55,60.0,0
