Acelerador,Corriente Instantanea,Corriente Motor,ID Celda Max Temp,ID Celda Max Volt,ID Celda Min Temp,ID Celda Min Volt,Max Temp Celda,Max Volt Celda,Min Temp Celda,Min Volt Celda,Nivel Vent. A/C,Odómetro,P. Cons. Ini Mov.,P. Gen. Freno Umbral 1,P. Gen. Freno Umbral 2,P. Gen. Freno Umbral 3,P. Gen. Freno Umbral 4,P. Gen. Freno Umbral 5,P. Gen. Freno Umbral 6,P. Gen. Retardador,P. Gen. TPS en uso,Pastilla Del Der,Pastilla Del Izq,Pastilla Tras Der,Pastilla Tras Izq,Pedal de Freno,Potencia Total Accesorios,Potencia Total Comp. A/C,Potencia Total Consumida,Potencia Total Generada,Potencia Total Motor,Presión Aire 1,Presión Aire 2,RPM,Set Temp. A/C,SOC,Temp Exterior,Temp Interior,Temperatura de Motor,Velocidad,Voltaje Instantaneo,latitud,longitud,hora
0.0,1.8,0.0,25.0,101.0,42.0,14.0,19.0,3.324,14.0,3.315,0.0,72736.2,3113.0,-520.7,-10941.8,-19735.6,-3450.2,-140.5,0.0,-647.3,-365.7,45.6,36.0,53.2,36.0,13.0,8757.4,0.0,100232.7,-35829.2,91475.3,864.0,876.0,0.0,22.0,80.0,19.0,18.0,64.0,0.0,637.3,-33.447941,-70.632073,2020-06-01 12:20:36
30.0,-7.9,-9.0,25.0,205.0,42.0,71.0,19.0,3.31,14.0,3.3,0.0,72736.8,3129.8,-523.0,-10969.4,-19924.0,-3450.2,-140.5,0.0,-650.6,-372.5,45.6,36.0,53.2,36.0,0.0,8793.7,0.0,101079.2,-36057.4,92285.5,840.0,852.0,1518.0,22.0,80.0,19.0,18.0,67.0,50.0,634.5,-33.452406,-70.630726,2020-06-01 12:21:36
100.0,215.7,214.0,25.0,193.0,42.0,81.0,19.0,3.285,14.0,3.26,0.0,72737.1,3175.1,-527.6,-11127.7,-20081.8,-3479.9,-140.5,0.0,-655.0,-389.1,45.6,36.0,53.2,36.0,0.0,8902.7,0.0,101679.3,-36429.2,92776.6,1000.0,1000.0,1250.0,22.0,80.0,19.0,18.0,67.0,41.0,628.4,-33.455473,-70.62985,2020-06-01 12:23:36
0.0,-164.8,-174.0,25.0,65.0,43.0,239.0,19.0,3.348,14.0,3.331,0.0,72738.4,3206.8,-528.0,-11223.9,-20415.1,-3538.6,-140.5,0.0,-655.8,-389.7,45.6,36.0,53.2,36.0,19.0,8963.1,0.0,102788.7,-36919.4,93825.5,908.0,920.0,1456.0,22.0,79.6,19.0,18.0,71.0,48.0,640.7,-33.466203,-70.626771,2020-06-01 12:25:36
100.0,80.3,76.0,25.0,193.0,43.0,71.0,19.0,3.297,14.0,3.285,0.0,72739.0,3227.6,-528.0,-11226.0,-20531.7,-3633.0,-140.5,0.0,-655.8,-389.7,45.6,36.0,53.2,36.0,0.0,8984.9,0.0,103484.6,-37132.4,94499.6,840.0,848.0,1592.0,22.0,79.6,19.0,18.0,72.0,53.0,631.9,-33.470093,-70.624327,2020-06-01 12:26:36
0.0,2.0,0.0,24.0,101.0,43.0,71.0,19.0,3.319,14.0,3.309,0.0,72740.0,3247.3,-528.3,-11291.7,-20865.2,-3749.8,-140.5,0.0,-655.8,-391.2,45.6,36.0,53.2,36.0,0.0,9048.1,0.0,104402.8,-37650.2,95354.7,788.0,796.0,0.0,22.0,79.2,19.0,18.0,73.0,0.0,636.2,-33.478684,-70.622085,2020-06-01 12:28:36
0.0,1.8,0.0,24.0,101.0,43.0,71.0,19.0,3.317,14.0,3.306,0.0,72740.9,3276.6,-531.0,-11325.0,-21043.5,-3749.8,-140.5,0.0,-660.8,-395.6,45.6,36.0,53.2,36.0,15.0,9162.3,0.0,105409.0,-37874.1,96246.7,972.0,988.0,0.0,22.0,79.2,19.0,18.0,73.0,0.0,635.9,-33.485413,-70.619588,2020-06-01 12:30:36
0.0,-145.5,-159.0,24.0,33.0,43.0,71.0,19.0,3.325,14.0,3.309,0.0,72741.5,3333.0,-532.0,-11353.8,-21171.6,-3791.1,-140.5,0.0,-662.6,-397.0,45.6,36.0,53.2,36.0,17.0,9213.7,0.0,106689.7,-38076.4,97476.1,896.0,908.0,1476.0,22.0,78.8,19.0,18.0,76.0,49.0,636.7,-33.490429,-70.617739,2020-06-01 12:32:36
0.0,-5.1,-8.0,24.0,101.0,52.0,71.0,19.0,3.306,14.0,3.295,0.0,72742.0,3354.2,-532.1,-11373.2,-21278.1,-3890.1,-140.5,0.0,-682.7,-398.2,45.6,36.0,53.2,36.0,0.0,9239.9,0.0,107403.4,-38322.9,98163.5,840.0,856.0,1185.0,22.0,78.8,19.0,18.0,77.0,39.0,633.8,-33.494776,-70.616768,2020-06-01 12:33:36
100.0,74.0,65.0,30.0,193.0,42.0,71.0,20.0,3.285,15.0,3.27,0.0,72742.9,3394.5,-534.5,-11415.9,-21380.0,-4033.8,-140.5,0.0,-691.7,-401.3,45.6,36.0,53.2,36.0,0.0,9329.3,0.0,109001.3,-38625.4,99672.0,972.0,988.0,1591.0,22.0,78.4,19.0,18.0,78.0,52.0,629.5,-33.5016,-70.615372,2020-06-01 12:35:36
100.0,215.1,207.0,30.0,195.0,42.0,129.0,20.0,3.26,15.0,3.235,0.0,72747.8,3662.5,-542.5,-11934.5,-22823.3,-4441.1,-140.5,0.0,-703.0,-409.7,45.6,36.0,53.2,36.0,0.0,9738.9,0.0,117630.3,-41022.7,107891.4,1000.0,1000.0,1464.0,22.0,76.4,20.0,19.0,78.0,48.0,623.6,-33.53683,-70.59216,2020-06-01 12:46:36
100.0,210.9,208.0,25.0,195.0,42.0,129.0,20.0,3.26,15.0,3.235,0.0,72748.7,3715.7,-543.2,-12079.5,-23227.3,-4441.1,-140.5,0.0,-703.2,-409.7,45.6,36.0,53.2,36.0,0.0,9793.3,0.0,119334.4,-41572.4,109541.1,960.0,972.0,1430.0,22.0,76.0,20.0,19.0,77.0,47.0,623.9,-33.544019,-70.589029,2020-06-01 12:48:36
100.0,216.4,213.0,25.0,193.0,42.0,129.0,20.0,3.265,15.0,3.24,0.0,72749.0,3741.9,-543.5,-12107.4,-23297.0,-4557.8,-140.5,0.0,-703.4,-409.7,45.6,36.0,53.2,36.0,0.0,9823.1,0.0,119986.0,-41787.2,110162.9,868.0,880.0,1105.0,22.0,76.0,20.0,19.0,76.0,36.0,624.7,-33.547107,-70.587671,2020-06-01 12:49:36
0.0,8.1,0.0,25.0,51.0,42.0,71.0,20.0,3.304,15.0,3.29,0.0,72749.8,3763.7,-543.6,-12145.0,-23432.7,-4617.5,-140.5,0.0,-705.4,-410.5,45.6,36.0,53.2,36.0,14.0,9915.3,0.0,120842.8,-42023.0,110927.4,948.0,960.0,0.0,22.0,75.6,20.0,19.0,71.0,0.0,633.0,-33.553051,-70.58659,2020-06-01 12:51:36
100.0,222.2,215.0,25.0,195.0,42.0,129.0,20.0,3.264,15.0,3.237,0.0,72750.7,3831.4,-543.7,-12200.1,-23764.1,-4738.0,-140.5,0.0,-707.5,-414.9,45.6,36.0,53.2,36.0,0.0,9970.8,0.0,122775.3,-42536.6,112804.5,880.0,896.0,1008.0,22.0,75.2,20.0,19.0,73.0,33.0,624.4,-33.560729,-70.585245,2020-06-01 12:53:36
0.0,1.8,0.0,25.0,51.0,42.0,249.0,20.0,3.303,15.0,3.289,0.0,72751.0,3831.4,-547.9,-12263.2,-23955.6,-4738.0,-140.5,0.0,-707.5,-414.9,45.6,36.0,53.2,36.0,16.0,9997.9,0.0,123248.3,-42795.3,113250.4,860.0,880.0,0.0,22.0,75.2,20.0,20.0,75.0,0.0,632.8,-33.563655,-70.584731,2020-06-01 12:54:36
100.0,247.6,237.0,25.0,195.0,43.0,129.0,20.0,3.268,15.0,3.241,0.0,72751.8,3898.4,-548.4,-12319.2,-24305.7,-4743.2,-140.5,0.0,-707.6,-414.9,45.6,36.0,53.2,36.0,0.0,10034.6,0.0,124669.1,-43207.2,114634.5,788.0,804.0,730.0,22.0,74.8,20.0,20.0,75.0,24.0,624.9,-33.569757,-70.583579,2020-06-01 12:56:36
0.0,1.8,0.0,24.0,101.0,43.0,249.0,20.0,3.3,15.0,3.285,0.0,72752.5,3920.0,-548.8,-12334.6,-24453.7,-4989.9,-140.5,0.0,-707.7,-414.9,45.6,36.0,53.2,36.0,15.0,10128.7,0.0,126077.1,-43617.9,115948.4,936.0,948.0,0.0,22.0,74.4,20.0,20.0,76.0,0.0,632.2,-33.576106,-70.58232,2020-06-01 12:58:36
0.0,1.8,0.0,30.0,101.0,43.0,214.0,21.0,3.301,15.0,3.286,0.0,72752.9,3940.2,-548.8,-12399.1,-24637.4,-4989.9,-140.5,0.0,-707.9,-415.2,45.6,36.0,53.2,36.0,16.0,10151.3,0.0,126741.7,-43866.5,116590.4,896.0,900.0,0.0,22.0,74.4,20.0,20.0,77.0,0.0,632.4,-33.579135,-70.581775,2020-06-01 12:59:36
9.0,3.2,0.0,30.0,51.0,43.0,214.0,21.0,3.3,15.0,3.286,0.0,72753.9,3961.4,-548.9,-12435.1,-24886.6,-4989.9,-140.5,0.0,-708.0,-415.2,45.6,36.0,53.2,36.0,0.0,10205.3,0.0,128022.8,-44152.2,117817.5,868.0,880.0,3.0,22.0,74.0,20.0,20.0,74.0,0.0,632.4,-33.587544,-70.580147,2020-06-01 13:01:36
6.0,2.3,0.0,30.0,101.0,43.0,249.0,21.0,3.3,15.0,3.285,0.0,72754.7,4006.5,-550.0,-12636.0,-25129.3,-4989.9,-140.5,0.0,-709.9,-417.2,45.6,36.0,53.2,36.0,0.0,10261.2,0.0,129275.5,-44600.7,119014.3,836.0,848.0,3.0,22.0,73.6,20.0,20.0,76.0,0.0,632.4,-33.593946,-70.579113,2020-06-01 13:03:36
0.0,1.8,0.0,30.0,101.0,43.0,249.0,21.0,3.3,15.0,3.285,0.0,72755.1,4027.8,-550.0,-12638.5,-25385.2,-4989.9,-140.5,0.0,-710.4,-418.1,45.6,36.0,53.2,36.0,16.0,10290.1,0.0,130031.0,-44860.5,119740.9,816.0,824.0,0.0,22.0,73.6,20.0,20.0,75.0,0.0,632.4,-33.597896,-70.578351,2020-06-01 13:04:36
81.0,63.2,53.0,30.0,210.0,52.0,249.0,21.0,3.275,15.0,3.26,0.0,72755.9,4071.2,-554.0,-12665.8,-25522.4,-5182.8,-140.5,0.0,-715.5,-427.0,45.6,36.0,53.2,36.0,0.0,10368.3,0.0,131750.0,-45235.9,121381.7,1000.0,1000.0,1602.0,22.0,73.2,20.0,20.0,78.0,53.0,627.2,-33.603909,-70.577038,2020-06-01 13:06:36
0.0,1.8,0.0,30.0,101.0,52.0,249.0,21.0,3.3,15.0,3.285,0.0,72756.4,4094.0,-562.3,-12911.7,-25663.6,-5182.8,-140.5,0.0,-722.3,-432.1,45.6,36.0,53.2,36.0,12.0,10428.4,0.0,132261.8,-45643.5,121833.4,876.0,884.0,0.0,22.0,73.2,20.0,20.0,75.0,0.0,632.4,-33.608545,-70.576121,2020-06-01 13:08:36
43.0,187.0,141.0,30.0,210.0,52.0,81.0,21.0,3.272,15.0,3.252,0.0,72756.6,4136.3,-564.2,-12939.5,-25663.6,-5182.8,-140.5,0.0,-725.9,-433.8,45.6,36.0,53.2,36.0,0.0,10447.9,0.0,132784.0,-45678.4,122336.1,840.0,856.0,1335.0,22.0,73.2,20.0,20.0,73.0,44.0,624.8,-33.609941,-70.575844,2020-06-01 13:09:36
39.0,161.0,127.0,30.0,210.0,52.0,129.0,21.0,3.277,15.0,3.256,0.0,72757.2,4189.4,-580.4,-13127.9,-25868.0,-5182.8,-140.5,0.0,-742.4,-446.6,45.6,36.0,53.2,36.0,0.0,10534.1,0.0,133625.3,-46116.7,123091.2,888.0,904.0,900.0,22.0,72.8,20.0,20.0,73.0,30.0,627.1,-33.61403,-70.576733,2020-06-01 13:11:36
