Acelerador,Corriente Instantanea,Corriente Motor,ID Celda Max Temp,ID Celda Max Volt,ID Celda Min Temp,ID Celda Min Volt,Max Temp Celda,Max Volt Celda,Min Temp Celda,Min Volt Celda,Nivel Vent. A/C,Odómetro,P. Cons. Ini Mov.,P. Gen. Freno Umbral 1,P. Gen. Freno Umbral 2,P. Gen. Freno Umbral 3,P. Gen. Freno Umbral 4,P. Gen. Freno Umbral 5,P. Gen. Freno Umbral 6,P. Gen. Retardador,P. Gen. TPS en uso,Pastilla Del Der,Pastilla Del Izq,Pastilla Tras Der,Pastilla Tras Izq,Pedal de Freno,Potencia Total Accesorios,Potencia Total Comp. A/C,Potencia Total Consumida,Potencia Total Generada,Potencia Total Motor,Presión Aire 1,Presión Aire 2,RPM,Set Temp. A/C,SOC,Temp Exterior,Temp Interior,Temperatura de Motor,Velocidad,Voltaje Instantaneo,latitud,longitud,hora
0.0,1.6,0.0,31.0,64.0,41.0,119.0,28.0,3.326,21.0,3.32,0.0,67079.5,3772.4,-886.5,-11379.7,-22540.8,-3783.3,-61.2,0.0,-408.5,-165.2,47.2,35.6,47.2,34.0,14.0,7943.1,0.0,112682.2,-39313.9,104739.1,840.0,840.0,0.0,21.0,92.0,19.0,17.0,72.0,0.0,638.0,-33.50085,-70.615482,2020-06-01 12:20:05
38.0,105.5,78.0,31.0,193.0,41.0,33.0,28.0,3.308,21.0,3.295,0.0,67081.0,3794.4,-893.5,-11380.9,-22540.8,-3783.3,-61.2,0.0,-415.9,-169.8,47.2,36.0,47.2,34.0,0.0,8000.0,0.0,114077.7,-39334.5,106077.7,840.0,840.0,1378.0,21.0,91.6,19.0,17.0,69.0,45.0,634.0,-33.511401,-70.610567,2020-06-01 12:22:05
0.0,8.2,0.0,31.0,18.0,41.0,84.0,28.0,3.324,21.0,3.319,0.0,67081.5,3813.5,-906.2,-11490.1,-22663.5,-3824.1,-61.2,0.0,-416.5,-170.2,47.2,36.0,47.2,34.0,25.0,8076.6,0.0,114712.1,-39621.4,106635.4,896.0,896.0,0.0,21.0,91.6,19.0,17.0,71.0,0.0,637.6,-33.515477,-70.606869,2020-06-01 12:24:05
0.0,-21.6,-3.0,31.0,177.0,41.0,83.0,28.0,3.328,21.0,3.317,0.0,67082.1,3834.9,-918.8,-11497.8,-22663.5,-3824.1,-61.2,0.0,-416.5,-170.2,47.2,36.0,47.2,34.0,11.0,8127.5,0.0,115496.5,-39641.7,107369.0,972.0,972.0,1246.0,21.0,91.2,19.0,17.0,71.0,41.0,637.7,-33.519151,-70.603193,2020-06-01 12:25:05
62.0,69.4,66.0,31.0,210.0,41.0,81.0,28.0,3.306,21.0,3.297,0.0,67083.3,3852.9,-930.7,-11666.5,-22836.1,-3824.1,-61.2,0.0,-426.6,-174.1,47.2,36.0,47.2,34.0,0.0,8196.3,0.0,117216.7,-40008.8,109020.4,920.0,920.0,1588.0,21.0,90.8,19.0,17.0,73.0,52.0,633.9,-33.52684,-70.596577,2020-06-01 12:27:05
100.0,197.1,195.0,24.0,193.0,41.0,33.0,28.0,3.294,21.0,3.275,0.0,67084.4,3891.1,-936.7,-11870.2,-23350.4,-3824.1,-61.2,0.0,-434.9,-178.5,47.2,36.0,47.2,34.0,0.0,8237.5,0.0,119134.1,-40745.6,110896.6,880.0,888.0,1530.0,21.0,90.4,19.0,17.0,78.0,50.0,631.0,-33.535508,-70.592808,2020-06-01 12:29:05
100.0,79.4,75.0,24.0,193.0,41.0,33.0,28.0,3.304,21.0,3.295,0.0,67085.0,3899.7,-937.8,-11939.5,-23495.6,-3824.1,-61.2,0.0,-436.3,-178.5,47.2,36.0,47.2,34.0,0.0,8267.7,0.0,120020.3,-40962.8,111752.6,868.0,880.0,1587.0,21.0,90.4,19.0,18.0,78.0,52.0,633.5,-33.540586,-70.59058,2020-06-01 12:30:05
0.0,1.6,0.0,31.0,17.0,41.0,146.0,28.0,3.322,21.0,3.316,0.0,67086.5,3899.7,-954.4,-12024.3,-23684.0,-3846.5,-61.2,0.0,-441.9,-182.5,47.2,36.0,47.2,34.0,18.0,8331.6,0.0,121378.8,-41288.0,113047.2,804.0,804.0,0.0,21.0,90.0,19.0,18.0,75.0,0.0,637.4,-33.553067,-70.586608,2020-06-01 12:32:05
100.0,66.1,63.0,24.0,210.0,41.0,81.0,28.0,3.309,21.0,3.3,0.0,67087.7,3927.9,-958.6,-12231.9,-23684.0,-3846.5,-61.2,0.0,-451.0,-183.7,47.2,35.2,47.2,34.0,0.0,8386.5,0.0,123066.0,-41510.3,114679.5,804.0,804.0,1595.0,21.0,89.6,19.0,18.0,74.0,53.0,634.3,-33.562687,-70.584928,2020-06-01 12:34:05
0.0,2.7,0.0,24.0,193.0,41.0,146.0,28.0,3.32,21.0,3.315,0.0,67088.9,3949.0,-967.4,-12440.4,-23726.0,-3846.5,-61.2,0.0,-468.4,-188.8,47.2,36.0,47.2,34.0,0.0,8505.9,0.0,124214.6,-41792.8,115708.6,1000.0,1000.0,736.0,21.0,89.2,19.0,18.0,72.0,24.0,636.8,-33.572984,-70.582988,2020-06-01 12:36:05
